Specialty,CPT Code,PPL?,decision by ROI,decision source,clinical reason,final decision,new rate
CARDIOLOGY,94761,1,1,rule,low volume,0,0
DME & MEDICAL SUPPLIES,94761,1,1,rule,low volume,0,
FACILITY SERVICES,94761,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,94761,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,94761,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,94761,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,94761,1,1,rule,low volume,0,
NEUROLOGY,94761,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,94761,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,94761,1,1,DBA,,1,1
SLEEP STUDY,94761,0,1,rule,Pend EPL,0,
SURGERY - CARDIAC,94761,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,94761,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,94761,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95004,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95004,1,1,clinical,PA and RL review of pend specs,1,0.66
CARDIOLOGY,95004,1,1,rule,low volume,0,0
DERMATOLOGY,95004,0,1,rule,Pend EPL,0,
DERMATOLOGY,95004,1,1,rule,low volume,0,
ENT-OTOLARYNGOLOGY,95004,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,95004,1,1,clinical,,1,0.91
FACILITY SERVICES,95004,0,1,rule,Pend EPL,0,
HOME HEALTH,95004,0,1,rule,Pend EPL,0,
HOME HEALTH,95004,1,1,rule,Hard Pend Specialty,0,
INTERNAL MEDICINE,95004,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,95004,1,1,rule,low volume,0,
OPHTHALMOLOGY,95004,0,1,rule,Pend EPL,0,
PEDIATRICS,95004,1,1,rule,low volume,0,0
PULMONARY DISEASE,95004,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,95004,1,0,rule,low volume,0,0
UNK PHYS SPEC,95004,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95012,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95012,1,1,clinical,PA and RL review of pend specs,1,0.02
FACILITY SERVICES,95012,0,1,rule,Pend EPL,0,0
PEDIATRICS,95012,1,1,rule,low volume,0,0
PULMONARY DISEASE,95012,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,95012,1,1,DBA,,1,0.85
URGENT/IMMEDIATE CARE,95012,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95017,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95017,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,95017,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,95017,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95018,0,0,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95018,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,95018,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,95018,1,1,rule,low volume,0,
INTERNAL MEDICINE,95018,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95018,0,0,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95024,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95024,1,1,clinical,PA and RL review of pend specs,1,0.49
ENT-OTOLARYNGOLOGY,95024,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,95024,1,1,DBA,,1,1
FACILITY SERVICES,95024,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95024,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95024,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95027,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95027,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,95027,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,95027,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,95028,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95028,1,1,rule,low volume,0,0
PULMONARY DISEASE,95028,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95044,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95044,1,1,clinical,PA and RL review of pend specs,1,0.64
DERMATOLOGY,95044,0,1,rule,Pend EPL,0,0
DERMATOLOGY,95044,1,1,DBA,,1,1
FACILITY SERVICES,95044,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,95044,0,1,rule,Pend EPL,0,
PEDIATRICS,95044,1,1,rule,low volume,0,
PULMONARY DISEASE,95044,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95065,1,0,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95076,0,0,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95076,1,1,clinical,PA and RL review of pend specs,1,0.39
INTERNAL MEDICINE,95076,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95076,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,95076,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95079,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95079,1,1,clinical,PA and RL review of pend specs,1,0.42
ALLERGY/IMMUNOLOGY,95115,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95115,1,1,clinical,PA and RL review of pend specs,1,0.89
ENT-OTOLARYNGOLOGY,95115,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,95115,1,1,clinical,overutilization concern,1,1
INTERNAL MEDICINE,95115,1,0,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95117,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95117,1,1,clinical,PA and RL review of pend specs,1,0.95
ENT-OTOLARYNGOLOGY,95117,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,95117,1,1,rule,low volume,0,
INTERNAL MEDICINE,95117,1,1,rule,low volume,0,0
PEDIATRICS,95117,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,95120,1,0,rule,low volume,0,
ENT-OTOLARYNGOLOGY,95120,0,0,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,95120,1,0,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95125,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95125,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,95144,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95144,1,1,clinical,PA and RL review of pend specs,1,0.86
ALLERGY/IMMUNOLOGY,95145,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95147,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95165,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95165,1,1,clinical,PA and RL review of pend specs,1,0.89
ENT-OTOLARYNGOLOGY,95165,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,95165,1,1,DBA,,1,1
INTERNAL MEDICINE,95165,1,1,rule,low volume,0,
PEDIATRICS,95165,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,95180,0,0,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95180,1,1,rule,low volume,0,
SLEEP STUDY,95180,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95199,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,95199,1,1,rule,low volume,0,
ENT-OTOLARYNGOLOGY,95199,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,95806,1,1,rule,low volume,0,
DME & MEDICAL SUPPLIES,95806,1,1,rule,low volume,0,
EMERGENCY SERVICES,95806,0,1,rule,Pend EPL,0,
FACILITY SERVICES,95806,1,1,rule,Hard Pend Specialty,0,
INTERNAL MEDICINE,95806,1,1,rule,low volume,0,
LABORATORY,95806,0,1,rule,Pend EPL,0,
NEUROLOGY,95806,0,1,rule,Pend EPL,0,0
NEUROLOGY,95806,1,1,clinical,guideline req,0,0
PULMONARY DISEASE,95806,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95806,1,1,rule,low volume,0,0
SLEEP STUDY,95806,0,1,rule,Pend EPL,0,0
SLEEP STUDY,95806,1,0,rule,Hard Pend Specialty,0,0
UNK PHYS SPEC,95806,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95810,1,1,rule,low volume,0,
DME & MEDICAL SUPPLIES,95810,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,95810,1,1,rule,low volume,0,
FACILITY SERVICES,95810,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,95810,1,1,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,95810,0,1,rule,Pend EPL,0,
GERIATRICS,95810,0,0,rule,Pend EPL,0,
HOSPITALIST,95810,0,1,rule,Pend EPL,0,
NEUROLOGY,95810,0,1,rule,Pend EPL,0,0
NEUROLOGY,95810,1,1,rule,low volume,0,0
PEDIATRICS,95810,0,1,rule,Pend EPL,0,0
PEDS-DEVELOPMENTAL BEHAVIORAL,95810,1,1,rule,Hard Pend Specialty,0,
PULMONARY DISEASE,95810,0,1,rule,Pend EPL,0,0
PULMONARY DISEASE,95810,1,1,DBA,,1,0.91
SLEEP STUDY,95810,0,0,rule,Pend EPL,0,0
SLEEP STUDY,95810,1,0,rule,Hard Pend Specialty,0,0
UNK PHYS SPEC,95810,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,95813,1,1,rule,low volume,0,
FACILITY SERVICES,95813,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,95813,1,1,rule,Hard Pend Specialty,0,0
NEUROLOGY,95813,0,1,rule,Pend EPL,0,0
NEUROLOGY,95813,1,1,clinical,guideline req,0,0
PAIN MANAGEMENT,95813,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,95813,1,1,rule,low volume,0,
RADIOLOGY_s,95813,0,1,rule,Pend EPL,0,
RADIOLOGY_s,95813,1,1,rule,low volume,0,
SLEEP STUDY,95813,0,1,rule,Pend EPL,0,0
SLEEP STUDY,95813,1,1,rule,Hard Pend Specialty,0,0
UNK PHYS SPEC,95813,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,96118,1,1,rule,low volume,0,
BEHAVIORAL HEALTH,96118,0,1,rule,Pend EPL,0,
BEHAVIORAL HEALTH,96118,1,1,rule,Hard Pend Specialty,0,
CLINICAL PSYCHOLOGIST,96118,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,96118,0,0,rule,Pend EPL,0,
FACILITY SERVICES,96118,1,0,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,96118,0,1,rule,Pend EPL,0,
HOSPITALIST,96118,0,1,rule,Pend EPL,0,
NEUROLOGY,96118,0,0,rule,Pend EPL,0,
NEUROLOGY,96118,1,1,rule,low volume,0,
NEUROPSYCHIATRY,96118,0,0,rule,Pend EPL,0,
PEDS-DEVELOPMENTAL BEHAVIORAL,96118,0,0,rule,Pend EPL,0,
PSYCHIATRY,96118,0,0,rule,Pend EPL,0,
PSYCHIATRY,96118,1,1,rule,Hard Pend Specialty,0,
PSYCHOLOGY,96118,0,0,rule,Pend EPL,0,0
PSYCHOLOGY,96118,1,1,rule,Hard Pend Specialty,0,
SURGERY - GENERAL,96118,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,96118,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,96118,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,96150,0,1,rule,Pend EPL,0,
ANESTHESIOLOGY,96150,0,1,rule,Pend EPL,0,0
BEHAVIORAL HEALTH,96150,1,1,rule,Hard Pend Specialty,0,0
ENDOCRINOLOGY,96150,0,0,rule,Pend EPL,0,0
ENDOCRINOLOGY,96150,1,1,rule,low volume,0,
FACILITY SERVICES,96150,0,0,rule,Pend EPL,0,0
FAMILY PRACTICE,96150,0,1,rule,Pend EPL,0,0
HEALTH ENHANCEMENT,96150,0,1,rule,Pend EPL,0,
HEALTH ENHANCEMENT,96150,1,1,rule,low volume,0,0
HEMATOLOGY/ONCOLOGY,96150,0,1,rule,Pend EPL,0,
LICENSED CLIN SOCIAL WORKER,96150,1,1,rule,Hard Pend Specialty,0,
NEUROLOGY,96150,0,0,rule,Pend EPL,0,0
PAIN MANAGEMENT,96150,0,0,rule,Pend EPL,0,
PAIN MANAGEMENT,96150,1,0,rule,low volume,0,
PEDIATRICS,96150,0,1,rule,Pend EPL,0,
PEDIATRICS,96150,1,1,rule,low volume,0,
PHYSICAL THERAPY/REHAB,96150,0,1,rule,Pend EPL,0,
PSYCHOLOGY,96150,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,96150,0,1,rule,Pend EPL,0,0
RADIOLOGY_s,96150,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,96150,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,96160,0,1,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,96160,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,96365,1,1,rule,low volume,0,0
CARDIOLOGY,96365,0,1,rule,Pend EPL,0,
CUSTODIAL CARE,96365,0,1,rule,Pend EPL,0,
DERMATOLOGY,96365,0,1,rule,Pend EPL,0,
ENDOCRINOLOGY,96365,0,1,rule,Pend EPL,0,
ENDOCRINOLOGY,96365,1,1,rule,low volume,0,
FACILITY SERVICES,96365,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,96365,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,96365,1,1,rule,low volume,0,0
GASTROENTEROLOGY,96365,0,1,rule,Pend EPL,0,
GASTROENTEROLOGY,96365,1,1,rule,low volume,0,0
HEMATOLOGY/ONCOLOGY,96365,0,0,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,96365,1,1,clinical,,1,0.41
HOME HEALTH,96365,0,1,rule,Pend EPL,0,0
HOME HEALTH,96365,1,0,rule,Hard Pend Specialty,0,0
HOSPITALIST,96365,0,0,rule,Pend EPL,0,
INFECTIOUS DISEASE,96365,0,1,rule,Pend EPL,0,0
INFECTIOUS DISEASE,96365,1,1,rule,low volume,0,0
INFUSION THERAPY,96365,0,0,rule,Pend EPL,0,0
INTERNAL MEDICINE,96365,0,0,rule,Pend EPL,0,
LABORATORY,96365,0,1,rule,Pend EPL,0,
NEPHROLOGY,96365,0,1,rule,Pend EPL,0,
NEPHROLOGY,96365,1,1,rule,low volume,0,
NEUROLOGY,96365,0,1,rule,Pend EPL,0,0
NEUROLOGY,96365,1,1,rule,low volume,0,0
NUCLEAR MEDICINE,96365,0,1,rule,Pend EPL,0,0
NURSING,96365,0,1,rule,Pend EPL,0,0
NURSING,96365,1,1,clinical,,1,0
ONCOLOGY - GYN,96365,0,1,rule,Pend EPL,0,0
ONCOLOGY - GYN,96365,1,1,rule,low volume,0,0
ONCOLOGY - MEDICAL,96365,0,0,rule,Pend EPL,0,0
PHARMACY,96365,0,1,rule,Pend EPL,0,0
PHARMACY,96365,1,1,rule,Hard Pend Specialty,0,0
PHYSICAL THERAPY/REHAB,96365,0,1,rule,Pend EPL,0,
RADIOLOGY_s,96365,1,1,rule,low volume,0,0
RHEUMATOLOGY,96365,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,96365,1,1,rule,low volume,0,0
SURGERY - GENERAL,96365,0,0,rule,Pend EPL,0,0
SURGERY - NEURO,96365,0,1,rule,Pend EPL,0,
SURGERY - ONCOLOGY,96365,1,1,rule,low volume,0,
UNK PHYS SPEC,96365,0,1,rule,Pend EPL,0,0
URGENT/IMMEDIATE CARE,96365,0,1,rule,Pend EPL,0,0
URGENT/IMMEDIATE CARE,96365,1,1,rule,low volume,0,0
UROLOGY,96365,0,1,rule,Pend EPL,0,
UROLOGY,96365,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,96366,1,1,rule,low volume,0,
CARDIOLOGY,96366,0,1,rule,Pend EPL,0,
DERMATOLOGY,96366,0,1,rule,Pend EPL,0,
FACILITY SERVICES,96366,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,96366,1,1,rule,Hard Pend Specialty,0,0
GASTROENTEROLOGY,96366,0,1,rule,Pend EPL,0,
GASTROENTEROLOGY,96366,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,96366,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,96366,1,1,clinical,,1,0.23
HOME HEALTH,96366,0,1,rule,Pend EPL,0,
HOME HEALTH,96366,1,0,rule,Hard Pend Specialty,0,
HOSPITALIST,96366,0,0,rule,Pend EPL,0,
INFECTIOUS DISEASE,96366,1,1,rule,low volume,0,0
INFUSION THERAPY,96366,0,0,rule,Pend EPL,0,0
INTERNAL MEDICINE,96366,0,0,rule,Pend EPL,0,
NEPHROLOGY,96366,0,1,rule,Pend EPL,0,
NEPHROLOGY,96366,1,1,rule,low volume,0,
NEUROLOGY,96366,0,1,rule,Pend EPL,0,0
NEUROLOGY,96366,1,1,rule,low volume,0,0
NUCLEAR MEDICINE,96366,0,1,rule,Pend EPL,0,0
NURSING,96366,0,1,rule,Pend EPL,0,0
NURSING,96366,1,1,rule,low volume,0,
ONCOLOGY - GYN,96366,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,96366,0,1,rule,Pend EPL,0,
PHARMACY,96366,0,1,rule,Pend EPL,0,0
PHARMACY,96366,1,1,rule,Hard Pend Specialty,0,0
PHYSICAL THERAPY/REHAB,96366,0,1,rule,Pend EPL,0,
RADIOLOGY_s,96366,1,1,rule,low volume,0,0
RHEUMATOLOGY,96366,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,96366,1,1,rule,low volume,0,0
SURGERY - GENERAL,96366,0,0,rule,Pend EPL,0,0
SURGERY - NEURO,96366,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,96366,0,1,rule,Pend EPL,0,0
URGENT/IMMEDIATE CARE,96366,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,96379,1,1,rule,low volume,0,
ENDOCRINOLOGY,96379,0,1,rule,Pend EPL,0,
FACILITY SERVICES,96379,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,96379,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,96379,1,1,rule,low volume,0,
HOSPITALIST,96379,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,96379,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,96379,1,1,rule,low volume,0,
NEUROLOGY,96379,0,1,rule,Pend EPL,0,
NEUROLOGY,96379,1,1,rule,low volume,0,
NURSE PRACTITIONER,96379,1,1,rule,Hard Pend Specialty,0,
NURSING,96379,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,96379,1,1,rule,low volume,0,
PHARMACY,96379,1,1,rule,Hard Pend Specialty,0,
RHEUMATOLOGY,96379,0,1,rule,Pend EPL,0,
RHEUMATOLOGY,96379,1,1,rule,low volume,0,
SURGERY - MAXILLOFACIAL ORAL,96379,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,96379,0,1,rule,Pend EPL,0,
SURGERY - ORTHO,96379,1,1,rule,low volume,0,
UROLOGY,96379,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,96401,0,0,rule,Pend EPL,0,0
ALLERGY/IMMUNOLOGY,96401,1,0,clinical,PA and RL review of pend specs,1,0.9
ENDOCRINOLOGY,96401,1,1,rule,low volume,0,
FACILITY SERVICES,96401,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,96401,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,96401,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,96401,1,1,DBA,,1,0.41
HOSPITALIST,96401,0,0,rule,Pend EPL,0,
INFUSION THERAPY,96401,0,0,rule,Pend EPL,0,0
INTERNAL MEDICINE,96401,0,0,rule,Pend EPL,0,
INTERNAL MEDICINE,96401,1,1,rule,low volume,0,
NURSING,96401,0,1,rule,Pend EPL,0,
ONCOLOGY - GYN,96401,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,96401,1,1,rule,low volume,0,
PHARMACY,96401,0,1,rule,Pend EPL,0,
PHARMACY,96401,1,1,rule,Hard Pend Specialty,0,
PULMONARY DISEASE,96401,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,96401,1,1,rule,low volume,0,0
RHEUMATOLOGY,96401,0,1,rule,Pend EPL,0,0
RHEUMATOLOGY,96401,1,1,DBA,,1,1
UNK PHYS SPEC,96401,0,1,rule,Pend EPL,0,0
UROLOGY,96401,0,1,rule,Pend EPL,0,0
UROLOGY,96401,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,96446,0,1,rule,Pend EPL,0,
FACILITY SERVICES,96446,0,1,rule,Pend EPL,0,
FACILITY SERVICES,96446,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,96446,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,96446,1,1,rule,low volume,0,
ONCOLOGY - GYN,96446,0,1,rule,Pend EPL,0,0
SURGERY - ONCOLOGY,96446,1,1,rule,low volume,0,
ALLERGY/IMMUNOLOGY,99219,1,1,rule,low volume,0,
CARDIOLOGY,99219,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,99219,1,1,rule,low volume,0,
FACILITY SERVICES,99219,0,1,rule,Pend EPL,0,
FACILITY SERVICES,99219,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,99219,0,1,rule,Pend EPL,0,
HOSPITALIST,99219,0,1,rule,Pend EPL,0,0
INTERNAL MEDICINE,99219,1,1,rule,low volume,0,
NEPHROLOGY,99219,0,1,rule,Pend EPL,0,
NEUROLOGY,99219,1,1,rule,low volume,0,0
PAIN MANAGEMENT,99219,0,1,rule,Pend EPL,0,
PERINATOLOGY,99219,1,1,rule,low volume,0,
PODIATRY,99219,1,1,rule,low volume,0,
UNK PHYS SPEC,99219,0,1,rule,Pend EPL,0,
ALLERGY/IMMUNOLOGY,99243,1,1,rule,low volume,0,
AUDIOLOGY,99243,0,1,rule,Pend EPL,0,
AUDIOLOGY,99243,1,1,rule,low volume,0,
BEHAVIORAL HEALTH,99243,0,1,rule,Pend EPL,0,
CARDIOLOGY,99243,0,1,rule,Pend EPL,0,0
CARDIOLOGY,99243,1,1,rule,low volume,0,0
DERMATOLOGY,99243,0,1,rule,Pend EPL,0,0
DERMATOLOGY,99243,1,1,rule,low volume,0,0
ENDOCRINOLOGY,99243,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,99243,0,1,rule,Pend EPL,0,
ENT-OTOLARYNGOLOGY,99243,1,1,rule,low volume,0,
FACILITY SERVICES,99243,0,1,rule,Pend EPL,0,
GASTROENTEROLOGY,99243,1,1,rule,low volume,0,0
GENETICS,99243,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,99243,1,1,rule,low volume,0,
HEPATOLOGY,99243,0,1,rule,Pend EPL,0,
HEPATOLOGY,99243,1,1,rule,low volume,0,
INFECTIOUS DISEASE,99243,1,1,rule,low volume,0,
INFERTILITY,99243,1,1,rule,Hard Pend Specialty,0,
INTERNAL MEDICINE,99243,0,1,rule,Pend EPL,0,
NEPHROLOGY,99243,1,1,rule,low volume,0,
NEUROLOGY,99243,1,1,rule,low volume,0,0
OBSTETRICS/GYNECOLOGY,99243,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,99243,1,1,DBA,,1,1
OPHTHALMOLOGY,99243,0,1,rule,Pend EPL,0,
OPHTHALMOLOGY,99243,1,1,rule,low volume,0,
ORTHOTICS AND PROSTHETICS,99243,0,1,rule,Pend EPL,0,
ORTHOTICS AND PROSTHETICS,99243,1,1,rule,low volume,0,
PAIN MANAGEMENT,99243,0,1,rule,Pend EPL,0,
PAIN MANAGEMENT,99243,1,1,rule,low volume,0,
PERINATOLOGY,99243,0,1,rule,Pend EPL,0,
PERINATOLOGY,99243,1,1,rule,low volume,0,
PODIATRY,99243,1,1,clinical,PA and RL review of pend specs,1,1
PSYCHIATRY,99243,0,1,rule,Pend EPL,0,
PSYCHIATRY,99243,1,1,rule,Hard Pend Specialty,0,0
PULMONARY DISEASE,99243,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,99243,1,1,rule,low volume,0,0
RADIOLOGY_b,99243,0,1,rule,Pend EPL,0,
RHEUMATOLOGY,99243,0,1,rule,Pend EPL,0,
RHEUMATOLOGY,99243,1,1,rule,low volume,0,
SURGERY - GENERAL,99243,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,99243,1,1,rule,low volume,0,
SURGERY - NEURO,99243,1,1,rule,low volume,0,
SURGERY - ONCOLOGY,99243,1,1,rule,low volume,0,
SURGERY - ORTHO,99243,0,1,rule,Pend EPL,0,0
SURGERY - ORTHO,99243,1,1,rule,low volume,0,
SURGERY - PLASTIC/RECONSTRUCT,99243,0,1,rule,Pend EPL,0,
SURGERY - VASCULAR,99243,0,1,rule,Pend EPL,0,
SURGERY - VASCULAR,99243,1,1,rule,low volume,0,0
UNK PHYS SPEC,99243,0,1,rule,Pend EPL,0,
UROLOGY,99243,1,1,rule,low volume,0,0
ALLERGY/IMMUNOLOGY,99244,1,1,rule,low volume,0,0
AMBULATORY SURGICAL CENTER,99244,1,1,rule,Hard Pend Specialty,0,
AUDIOLOGY,99244,0,1,rule,Pend EPL,0,
AUDIOLOGY,99244,1,1,rule,low volume,0,
CARDIOLOGY,99244,0,1,rule,Pend EPL,0,0
CARDIOLOGY,99244,1,1,rule,low volume,0,0
DERMATOLOGY,99244,0,1,rule,Pend EPL,0,0
DERMATOLOGY,99244,1,1,DBA,,1,1
ENDOCRINOLOGY,99244,1,1,rule,low volume,0,0
ENT-OTOLARYNGOLOGY,99244,0,1,rule,Pend EPL,0,0
ENT-OTOLARYNGOLOGY,99244,1,1,DBA,,1,1
FACILITY SERVICES,99244,0,1,rule,Pend EPL,0,
FACILITY SERVICES,99244,1,1,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,99244,1,1,rule,low volume,0,
GASTROENTEROLOGY,99244,0,1,rule,Pend EPL,0,
GASTROENTEROLOGY,99244,1,1,DBA,,1,1
GENERAL PRACTICE,99244,1,1,rule,low volume,0,
HEALTH ENHANCEMENT,99244,1,1,rule,low volume,0,0
HEMATOLOGY/ONCOLOGY,99244,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,99244,1,1,rule,low volume,0,
HOSPITALIST,99244,0,0,rule,Pend EPL,0,
INFECTIOUS DISEASE,99244,1,1,rule,low volume,0,0
INTERNAL MEDICINE,99244,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,99244,1,1,rule,low volume,0,
INTERVENTIONAL RADIOLOGY,99244,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,99244,1,1,rule,low volume,0,
NEPHROLOGY,99244,1,1,rule,low volume,0,0
NEUROLOGY,99244,0,1,rule,Pend EPL,0,0
NEUROLOGY,99244,1,1,rule,low volume,0,0
OBSTETRICS/GYNECOLOGY,99244,0,1,rule,Pend EPL,0,0
OBSTETRICS/GYNECOLOGY,99244,1,1,rule,low volume,0,0
OPHTHALMOLOGY,99244,0,1,rule,Pend EPL,0,0
OPHTHALMOLOGY,99244,1,1,rule,low volume,0,
ORTHOTICS AND PROSTHETICS,99244,1,1,rule,low volume,0,
PAIN MANAGEMENT,99244,0,1,rule,Pend EPL,0,
